predict	answer
UNKNOWN	UNKNOWN
쇼타임	쇼타임
2012년	2012년
우익수, 투수	UNKNOWN
190cm	190cm
측면 공격수	측면 공격수
UNKNOWN	UNKNOWN
UNKNOWN	UNKNOWN
2015년	2015년
1991년	1991년
사라, 존	사라, 존
행정가, 전북 현대 모터스 고문	지도자
UNKNOWN	UNKNOWN
UNKNOWN	일반 선수
UNKNOWN	UNKNOWN
2010년	2010년
CR7	CR7
UNKNOWN	UNKNOWN
알 나스르	UNKNOWN
거만한	겸손한
1943년 2월 4일	UNKNOWN
B, Go	A
유닉스	UNKNOWN
UNKNOWN	필즈상
스탠포드 대학교	스탠포드 대학교
요트 타기	요트 타기
C, B	UNKNOWN
뉴욕주 브롱크스빌	미국 뉴욕 맨해튼
2010년	2010년
UNKNOWN	UNKNOWN
이탈리아 제노바	UNKNOWN
산살바도르	산살바도르
1493년 3월 15일	1494년
1506년 5월 20일	UNKNOWN
쿠바, 자메이카	인도
밀루틴 테슬라, 게오르기나 테슬라	밀루틴 테슬라, 게오르기나 테슬라
UNKNOWN	UNKNOWN
테슬라 회사	테슬라
UNKNOWN	UNKNOWN
관상동맥 혈전증	관상동맥 혈전증
테니스	테니스
오하이오주 밀란	UNKNOWN
축음기, 전구	UNKNOWN
1847년	1940년
유리 에디슨	유리 에디슨
연세대학교	서울예술대학
한승원	UNKNOWN
10월 24일	10월 24일
대한민국 서울특별시	서울특별시
풍문여자고등학교	남문고등학교
1969년	UNKNOWN
2011년	2011년 1월
토트넘 홋스퍼 FC	토트넘 홋스퍼 FC
한종희	한종희
260조 원	260조 원
02-3777-1114	02-3777-1114
halted	UNKNOWN
Life is Good, 가전은 역시 LG	UNKNOWN
조주완, 배두용	조주완, 배두용, 이재용
서울특별시 영등포구 여의대로 128 (여의도동)	서울특별시 강남구
호랑이	호랑이
UNKNOWN	UNKNOWN
UNKNOWN	UNKNOWN
한익수	한익수
1885년에서 1914년	1885년에서 1914년까지
UNKNOWN	UNKNOWN
김영희	김영희
1946년 10월	1945년
UNKNOWN	UNKNOWN
관악캠퍼스, 연건캠퍼스, 평창캠퍼스, 시흥캠퍼스, 부산캠퍼스	부산캠퍼스
2001년	2001년
100g당 500kcal	100g당 500kcal
다이제스티브	다이제스티브
롯데	롯데
UNKNOWN	UNKNOWN
잉글랜드	UNKNOWN
UNKNOWN	로열 메달, 월스턴 메달, 노벨상
이기적 유전자	이기적 유전자
1883년	1883년
박물학, 생물학, 수학	박물학, 생물학, 수학
푸트리바이	푸트리바이
UNKNOWN	UNKNOWN
19세	19세
자이나교	자이나교
포르반다르	UNKNOWN
사냥	사냥
버지니아 식민지의 웨스트모얼랜드 카운티	UNKNOWN
UNKNOWN	UNKNOWN
185cm	185cm
1789년	1790년
알버타 윌리엄스 킹	알버타 윌리엄스 킹
1953년 6월 18일	1953년 6월 18일
UNKNOWN	UNKNOWN
조지아주 애틀랜타	UNKNOWN
1929년	1928년
대한민국 이천	대한민국 이천
메모리 반도체	UNKNOWN
50,500,000,000,000원 (2022)	50,500,000,000,000원
1983년 2월 1일	1983년 2월 1일
UNKNOWN	UNKNOWN
